community,node
3,YDR283C
3,YDR364C
3,YDR378C
3,YDR416W
3,YDR473C
3,YDR482C
3,YEL015W
3,YER029C
3,YER112W
3,YER142C
3,YER146W
3,YER165W
3,YER172C
3,YFL017W-A
3,YGL049C
3,YGL120C
3,YGL128C
3,YGL173C
3,YGR013W
3,YGR074W
3,YGR075C
3,YGR091W
3,YGR162W
3,YGR278W
3,YHR086W
3,YHR165C
3,YHR216W
3,YIL061C
3,YIL079C
3,YIR001C
3,YIR009W
3,YJL050W
3,YJL124C
3,YJL138C
3,YJL203W
3,YJR022W
3,YJR041C
3,YJR050W
3,YKL012W
3,YKL095W
3,YKL173W
3,YKL214C
3,YKR022C
3,YLL036C
3,YLR117C
3,YLR147C
3,YLR264W
3,YLR275W
3,YLR298C
3,YLR347C
3,YLR424W
3,YLR427W
3,YLR430W
3,YLR432W
3,YLR438C-A
3,YML046W
3,YML049C
3,YML056C
3,YML117W
3,YMR125W
3,YMR213W
3,YMR239C
3,YMR240C
3,YMR268C
3,YMR288W
3,YNL016W
3,YNL118C
3,YNL147W
3,YNL251C
3,YNR011C
3,YOL115W
3,YOL139C
3,YOL149W
3,YOR159C
3,YOR167C
3,YOR243C
3,YOR308C
3,YOR319W
3,YPL020C
3,YPL151C
3,YPL178W
3,YPL190C
3,YPL213W
3,YPR057W
3,YPR082C
3,YPR101W
3,YPR178W
3,YPR182W
4,YBL039C
4,YBR217W
4,YBR272C
4,YDL007W
4,YDL097C
4,YDL108W
4,YDL147W
4,YDR311W
4,YDR363W-A
4,YDR394W
4,YDR427W
4,YDR460W
4,YEL034W
4,YEL037C
4,YER021W
4,YER171W
4,YFR004W
4,YFR010W
4,YFR052W
4,YGL004C
4,YGL048C
4,YGR232W
4,YGR262C
4,YHL030W
4,YHR027C
4,YHR200W
4,YIL075C
4,YIR012W
4,YJL184W
4,YKL145W
4,YKR038C
4,YLR005W
4,YLR421C
4,YML036W
4,YMR191W
4,YNL250W
4,YOR117W
4,YOR209C
4,YOR259C
4,YOR261C
4,YPR025C
4,YPR056W
4,YPR108W
5,YAL007C
5,YAL021C
5,YAR002C-A
5,YBL035C
5,YBL046W
5,YBR087W
5,YCL016C
5,YCL028W
5,YCR093W
5,YDL018C
5,YDL149W
5,YDR075W
5,YDR252W
5,YDR293C
5,YER068W
5,YER173W
5,YGL200C
5,YGR134W
5,YHR191C
5,YHR193C
5,YIR008C
5,YJR011C
5,YJR068W
5,YKL045W
5,YLR048W
5,YML012W
5,YMR078C
5,YNL102W
5,YNL201C
5,YNL288W
5,YNL290W
5,YNR052C
5,YOL094C
5,YOR144C
5,YOR217W
5,YPL037C
6,YBR025C
6,YCL011C
6,YDL084W
6,YDR138W
6,YHR167W
6,YJR032W
6,YML062C
6,YNL004W
6,YNL139C
6,YNL253W
6,YOR191W
7,YAR014C
7,YAR018C
7,YBL004W
7,YBL072C
7,YBR189W
7,YBR247C
7,YCL014W
7,YCL059C
7,YCR057C
7,YDL014W
7,YDL040C
7,YDL060W
7,YDL148C
7,YDL208W
7,YDL213C
7,YDR025W
7,YDR064W
7,YDR299W
7,YDR324C
7,YDR365C
7,YDR398W
7,YDR447C
7,YDR449C
7,YDR450W
7,YEL054C
7,YEL055C
7,YER036C
7,YER082C
7,YGL078C
7,YGR081C
7,YGR090W
7,YGR128C
7,YGR145W
7,YGR214W
7,YGR285C
7,YHL033C
7,YHR013C
7,YHR064C
7,YHR089C
7,YHR148W
7,YHR158C
7,YHR196W
7,YIL069C
7,YJL069C
7,YJL080C
7,YJL109C
7,YJR002W
7,YJR123W
7,YJR145C
7,YKL035W
7,YKL143W
7,YKR060W
7,YKR092C
7,YLL011W
7,YLR096W
7,YLR129W
7,YLR175W
7,YLR186W
7,YLR197W
7,YLR222C
7,YLR262C
7,YLR367W
7,YLR409C
7,YML024W
7,YMR093W
7,YMR116C
7,YMR128W
7,YMR310C
7,YNL075W
7,YNL132W
7,YNL178W
7,YNL207W
7,YNL209W
7,YNL308C
7,YNR054C
7,YOL010W
7,YOR056C
7,YOR078W
7,YOR081C
7,YOR096W
7,YOR145C
7,YOR253W
7,YOR310C
7,YPL012W
7,YPL081W
7,YPL126W
7,YPL204W
7,YPL217C
7,YPL266W
7,YPR112C
7,YPR137W
7,YPR144C
8,YAL003W
8,YBR118W
8,YBR127C
8,YDL003W
8,YDL132W
8,YDL185W
8,YDL216C
8,YDR054C
8,YDR179C
8,YDR202C
8,YDR328C
8,YDR457W
8,YEL023C
8,YEL051W
8,YEL060C
8,YFL008W
8,YGR020C
8,YGR087C
8,YGR281W
8,YHR039C-A
8,YHR060W
8,YIL026C
8,YIL046W
8,YIL071C
8,YJL052W
8,YJL074C
8,YJR009C
8,YJR033C
8,YJR090C
8,YKL080W
8,YKL081W
8,YLR090W
8,YLR134W
8,YLR249W
8,YLR447C
8,YMR001C
8,YMR025W
8,YMR027W
8,YMR186W
8,YOL013C
8,YOL117W
8,YOR270C
8,YOR332W
8,YPL048W
8,YPL201C
8,YPL240C
8,YPR036W
9,YAL041W
9,YBL078C
9,YBL093C
9,YBR125C
9,YBR193C
9,YBR195C
9,YBR200W
9,YBR253W
9,YCR020C-A
9,YCR081W
9,YDL005C
9,YDL089W
9,YDL137W
9,YDL192W
9,YDL229W
9,YDR186C
9,YDR279W
9,YDR308C
9,YDR443C
9,YEL053C
9,YER022W
9,YER114C
9,YGL025C
9,YGL127C
9,YGL151W
9,YGR010W
9,YGR104C
9,YHL003C
9,YHR030C
9,YHR041C
9,YHR058C
9,YHR171W
9,YHR188C
9,YJL208C
9,YKL008C
9,YKR079C
9,YLL010C
9,YLR019W
9,YLR071C
9,YLR154C
9,YLR324W
9,YLR328W
9,YLR438W
9,YML007W
9,YML102W
9,YMR099C
9,YMR106C
9,YMR112C
9,YMR298W
9,YNL025C
9,YNL072W
9,YNL236W
9,YNR007C
9,YNR010W
9,YOL051W
9,YOL135C
9,YOR043W
9,YOR174W
9,YPL042C
9,YPL140C
9,YPR018W
9,YPR028W
9,YPR051W
9,YPR070W
9,YPR168W
10,YBR171W
10,YBR254C
10,YDR108W
10,YDR245W
10,YDR246W
10,YDR407C
10,YDR472W
10,YEL036C
10,YER017C
10,YGL167C
10,YGR132C
10,YGR166W
10,YGR231C
10,YJL044C
10,YJL183W
10,YJR075W
10,YKR068C
10,YLR292C
10,YLR342W
10,YML077W
10,YMR089C
10,YMR218C
10,YOR115C
10,YOR254C
10,YPL050C
10,YPL094C
11,YBR154C
11,YDL115C
11,YDL140C
11,YDR026C
11,YDR156W
11,YDR404C
11,YER125W
11,YER139C
11,YGL043W
11,YGL070C
11,YGR005C
11,YGR063C
11,YGR186W
11,YGR268C
11,YHR143W-A
11,YIL021W
11,YJL140W
11,YJL148W
11,YJR017C
11,YJR063W
11,YML010W
11,YNL113W
11,YNL248C
11,YOL005C
11,YOR124C
11,YOR138C
11,YOR151C
11,YOR210W
11,YOR224C
11,YOR340C
11,YOR341W
11,YPL129W
11,YPR010C
11,YPR093C
11,YPR110C
11,YPR187W
12,YBL041W
12,YBR173C
12,YDL188C
12,YDL246C
12,YEL061C
12,YER012W
12,YER094C
12,YFL007W
12,YFR050C
12,YGL011C
12,YGR135W
12,YGR253C
12,YJL001W
12,YJR159W
12,YKL206C
12,YLR199C
12,YML092C
12,YMR308C
12,YMR314W
12,YOL038W
12,YOR157C
12,YOR362C
12,YPR103W
13,YDL116W
13,YDL195W
13,YDR027C
13,YDR484W
13,YDR517W
13,YEL002C
13,YGL022W
13,YGL092W
13,YGL100W
13,YIL109C
13,YJL002C
13,YJL029C
13,YJL034W
13,YJR042W
13,YKL057C
13,YLR075W
13,YLR208W
13,YMR149W
13,YNL049C
13,YPL085W
13,YPL169C
13,YPR181C
14,YBL002W
14,YBL003C
14,YBL008W
14,YBR009C
14,YBR010W
14,YBR049C
14,YBR089C-A
14,YBR215W
14,YBR245C
14,YBR278W
14,YBR279W
14,YCR020W-B
14,YCR052W
14,YDR121W
14,YDR174W
14,YDR224C
14,YDR225W
14,YDR303C
14,YER116C
14,YER161C
14,YER164W
14,YFR013W
14,YFR037C
14,YGL019W
14,YGL035C
14,YGL133W
14,YGL207W
14,YGL241W
14,YGL244W
14,YGR056W
14,YGR116W
14,YGR275W
14,YHR056C
14,YIL035C
14,YIL126W
14,YJL047C
14,YJL065C
14,YJL115W
14,YKL088W
14,YKR001C
14,YKR008W
14,YKR048C
14,YLL022C
14,YLR033W
14,YLR176C
14,YLR320W
14,YLR321C
14,YLR357W
14,YLR418C
14,YML069W
14,YML127W
14,YMR033W
14,YMR044W
14,YMR072W
14,YMR091C
14,YMR172W
14,YNL030W
14,YNL031C
14,YNL088W
14,YNL206C
14,YNL262W
14,YOL006C
14,YOL012C
14,YOL054W
14,YOL108C
14,YOL145C
14,YOR038C
14,YOR039W
14,YOR061W
14,YOR123C
14,YOR304W
14,YPL082C
14,YPR034W
15,YBR081C
15,YBR198C
15,YCL010C
15,YCR042C
15,YDR145W
15,YDR167W
15,YDR176W
15,YDR392W
15,YDR448W
15,YER148W
15,YGL066W
15,YGL112C
15,YGR252W
15,YGR274C
15,YHR099W
15,YLR055C
15,YML015C
15,YML098W
15,YML114C
15,YMR005W
15,YMR223W
15,YMR227C
15,YMR236W
15,YOL148C
15,YPL011C
15,YPL047W
15,YPL254W
16,YAL011W
16,YBR231C
16,YDL002C
16,YDR190C
16,YDR334W
16,YDR359C
16,YDR485C
16,YEL018W
16,YEL044W
16,YER092W
16,YFL013C
16,YFL024C
16,YGL150C
16,YGR002C
16,YHR090C
16,YJL081C
16,YJL098W
16,YJR082C
16,YLR052W
16,YLR085C
16,YLR385C
16,YML041C
16,YNL059C
16,YNL107W
16,YNL136W
16,YNL215W
16,YOR141C
16,YOR189W
16,YOR244W
16,YPL235W
16,YPR023C
17,YBL090W
17,YBR146W
17,YBR251W
17,YDL045W-A
17,YDR036C
17,YDR041W
17,YDR124W
17,YDR175C
17,YDR337W
17,YDR347W
17,YER050C
17,YGL129C
17,YGR084C
17,YGR165W
17,YGR185C
17,YGR215W
17,YHL004W
17,YIL070C
17,YIL093C
17,YJR101W
17,YJR113C
17,YKL155C
17,YMR188C
17,YNL137C
17,YNL306W
17,YNR036C
17,YNR037C
17,YOR158W
17,YOR204W
17,YPL013C
17,YPL118W
18,YAL043C
18,YAR003W
18,YBR175W
18,YBR258C
18,YDR195W
18,YDR228C
18,YDR301W
18,YDR469W
18,YER133W
18,YGL044C
18,YGR156W
18,YHR029C
18,YHR119W
18,YJL033W
18,YJR093C
18,YKL018W
18,YKL059C
18,YKR002W
18,YLR015W
18,YLR115W
18,YLR277C
18,YLR448W
18,YMR061W
18,YNL222W
18,YNL317W
18,YOR179C
18,YOR250C
18,YPL138C
18,YPR107C
19,YAR007C
19,YBR136W
19,YCR028C-A
19,YCR092C
19,YDL156W
19,YDR097C
19,YDR295C
19,YDR499W
19,YHR164C
19,YJL173C
19,YML032C
19,YNL021W
19,YNL312W
19,YOL090W
19,YPR179C
20,YAL038W
20,YAR002W
20,YBL084C
20,YBR017C
20,YDL052C
20,YDL055C
20,YDL193W
20,YDR002W
20,YDR062W
20,YDR118W
20,YDR127W
20,YDR170C
20,YDR214W
20,YDR335W
20,YDR502C
20,YER086W
20,YER095W
20,YER110C
20,YFL037W
20,YFR009W
20,YFR036W
20,YFR040W
20,YGL016W
20,YGL195W
20,YGL240W
20,YGR218W
20,YGR234W
20,YGR240C
20,YHL011C
20,YHR019C
20,YHR020W
20,YHR166C
20,YHR169W
20,YIL094C
20,YJL130C
20,YJR074W
20,YJR077C
20,YJR109C
20,YJR132W
20,YKL010C
20,YKL022C
20,YKL029C
20,YKL104C
20,YKL152C
20,YKL211C
20,YKR059W
20,YLL040C
20,YLR102C
20,YLR127C
20,YLR153C
20,YLR180W
20,YLR259C
20,YLR293C
20,YLR335W
20,YML085C
20,YML124C
20,YMR012W
20,YMR235C
20,YNL055C
20,YNL085W
20,YNL172W
20,YOL098C
20,YOR133W
20,YOR136W
20,YOR185C
20,YOR249C
20,YPL061W
20,YPL226W
20,YPR080W
21,YAR042W
21,YBR079C
21,YBR143C
21,YDL019C
21,YDR091C
21,YDR211W
21,YDR429C
21,YER025W
21,YGR083C
21,YIL131C
21,YJL190C
21,YJR007W
21,YKR026C
21,YLR192C
21,YLR291C
21,YML063W
21,YMR146C
21,YMR309C
21,YNL244C
21,YNL265C
21,YOL087C
21,YOR260W
21,YOR361C
21,YPL237W
21,YPR041W
21,YPR086W
22,YAL016W
22,YBR103W
22,YCR033W
22,YDL134C
22,YDR155C
22,YER136W
22,YFL005W
22,YFL038C
22,YGL190C
22,YGL194C
22,YGR161C
22,YHR135C
22,YIL033C
