alpha_threshold,fuzzy_modularity_qg,n_communities,n_predicted_communities,n_overlapping_nodes,onmi,omega,comm_recall,comm_precision,comm_F1,average_score
0.5,0.8125765904405354,35,35,55,0.18831096350197107,0.12475767821483377,0.2364650379847776,0.5623331697141299,0.3329304774471241,0.28895946537256734
0.45,0.8125765904405354,35,35,66,0.18655356627653108,0.12428575918093175,0.23517379826529902,0.5589402277928878,0.33105597448216667,0.28720186519956326
0.4,0.8125765904405354,35,35,78,0.1860608599094954,0.12313981040341371,0.23394544588672173,0.5579054741344922,0.32965660987181783,0.28614164004118814
0.35,0.8125765904405354,35,35,90,0.18575486135565356,0.12199953021796112,0.23292437410857847,0.5559072177784738,0.3282940036763443,0.2849759974274023
0.3,0.8125765904405354,35,35,109,0.1913933003716617,0.12190657203815786,0.23020392310799861,0.549957945861927,0.32455438215402527,0.2836032247067541
