iteration,qg
1,0.721247027586466
2,0.7653859175839759
3,0.7790179413900247
4,0.784151447385971
5,0.788999718907898
6,0.7929784870354224
7,0.7954304060000772
8,0.8012603705572507
9,0.8027135238870031
10,0.8030946926818636
11,0.8049194841325549
12,0.8064301193959207
13,0.8066821225393407
14,0.8069021316300676
15,0.8080674343415973
16,0.8092654622985391
17,0.8102805239922016
18,0.8124122808527151
19,0.8125098453316948
20,0.8125495890110045
21,0.8125579316284354
22,0.8125632176972309
23,0.8125667016058933
24,0.8125690987708778
25,0.8125708135791463
26,0.8125720794420715
27,0.8125730363006733
28,0.8125737720802029
29,0.8125743447808547
30,0.8125747944179296
31,0.8125751496554906
32,0.8125754316356599
33,0.8125756562932613
34,0.81257583582592
35,0.8125759796736428
36,0.8125760951997367
37,0.8125761881806578
38,0.8125762631677624
39,0.8125763237596071
40,0.8125763728097228
41,0.8125764125866776
42,0.8125764448982313
43,0.8125764711881253
44,0.812576492611823
45,0.8125765100959682
46,0.8125765243851824
47,0.8125765360789858
48,0.8125765456609889
49,0.8125765535220238
50,0.8125765599785119
51,0.812576565287075
52,0.8125765696561887
53,0.8125765732554873
54,0.8125765762232153
55,0.8125765786722027
56,0.8125765806946673
57,0.8125765823660815
58,0.812576583748292
59,0.8125765848920394
60,0.8125765858390017
61,0.8125765866234483
62,0.8125765872735852
63,0.81257658781265
64,0.8125765882598035
65,0.8125765886308584
66,0.8125765889388735
67,0.8125765891946415
68,0.8125765894070881
69,0.8125765895835987
70,0.8125765897302895
71,0.8125765898522258
72,0.8125765899536066
73,0.8125765900379138
74,0.8125765901080348
75,0.8125765901663664
76,0.8125765902148979
77,0.8125765902552813
78,0.8125765902888888
79,0.8125765903168609
80,0.8125765903401447
81,0.8125765903595278
82,0.8125765903756652
83,0.8125765903891016
84,0.8125765904002897
85,0.8125765904096064
86,0.8125765904173652
87,0.812576590423827
88,0.8125765904292088
89,0.8125765904336916
90,0.8125765904374254
91,0.8125765904405354
