alpha_threshold,fuzzy_modularity_qg,n_communities,n_predicted_communities,n_overlapping_nodes,onmi,omega,comm_recall,comm_precision,comm_F1,average_score
0.5,0.65662233256855,125,125,207,0.017994074364661383,0.007496333160099177,0.20989346330901473,0.2911098790283398,0.24391877478367402,0.15408250492915782
0.4,0.65662233256855,125,125,283,0.02027232750398178,0.008275866975707029,0.20884038869390065,0.2906282724512366,0.24303795655566138,0.1542109624360975
0.45,0.65662233256855,125,125,249,0.017994074364661383,0.007832187084926653,0.20887356384956607,0.289268355254566,0.24258352872444447,0.15331034185563291
0.35,0.65662233256855,125,125,323,0.019743501197008406,0.008353830892132241,0.2079260439066575,0.2869798152170172,0.24113910376731496,0.15282845899602607
0.3,0.65662233256855,125,125,383,0.016676800325541974,0.008686509370023368,0.20614341271384706,0.2840661198339149,0.23891154900476527,0.1508968782496185
