node,significant_run_count,candidate_occurrences,mean_centrality_vote,max_centrality_vote,communities_found,voted_by_summary,significant_frequency,min_significant_run_required,is_stable_significant
plexopathy,16,21,3.3125,4,"10 | 10, 42 | 11, 44 | 14 | 18 | 23 | 23, 48 | 27 | 28, 43 | 29 | 3, 46 | 41 | 44 | 46 | 51 | 7","degree_centrality, betweenness_centrality, closeness_centrality, eigenvector_centrality | degree_centrality, closeness_centrality, eigenvector_centrality",0.8,15,TRUE
skin melanoma,16,21,3,3,"14 | 15, 47 | 15, 59 | 20 | 22 | 29, 59 | 3 | 30, 39 | 36 | 4 | 5 | 5, 54 | 56 | 6","degree_centrality, closeness_centrality, eigenvector_centrality",0.8,15,TRUE
"spondyloepimetaphyseal dysplasia, Li-Shao-Li type",16,18,3,3,"10 | 11 | 14 | 18, 33 | 19 | 2 | 27, 67 | 29 | 30 | 33 | 4 | 43 | 54 | 62 | 9","degree_centrality, closeness_centrality, eigenvector_centrality",0.8,15,TRUE
calvarial doughnut lesions with bone fragility,16,16,3,3,10 | 11 | 12 | 14 | 19 | 2 | 29 | 30 | 33 | 4 | 54 | 62 | 67 | 9,"degree_centrality, closeness_centrality, eigenvector_centrality",0.8,15,TRUE
typhus,15,15,3.933333333,4,1 | 11 | 12 | 18 | 2 | 34 | 41 | 49 | 51 | 52 | 6 | 7,"degree_centrality, betweenness_centrality, closeness_centrality, eigenvector_centrality | degree_centrality, closeness_centrality, eigenvector_centrality",0.75,15,TRUE
intracranial arterial disease,15,16,3.733333333,4,"1 | 13 | 23 | 25 | 28 | 29 | 37, 48 | 38 | 41 | 5 | 7 | 8 | 9","degree_centrality, betweenness_centrality, closeness_centrality | degree_centrality, betweenness_centrality, closeness_centrality, eigenvector_centrality | degree_centrality, closeness_centrality, eigenvector_centrality",0.75,15,TRUE
hematologic cancer,15,16,3.666666667,4,"1 | 14 | 19 | 2 | 31 | 34 | 4 | 42 | 50 | 53 | 53, 9 | 55 | 56 | 65","degree_centrality, betweenness_centrality, closeness_centrality | degree_centrality, betweenness_centrality, closeness_centrality, eigenvector_centrality | degree_centrality, closeness_centrality, eigenvector_centrality",0.75,15,TRUE
brain disease,15,15,3.666666667,4,1 | 10 | 17 | 19 | 23 | 32 | 36 | 40 | 45 | 47 | 49 | 51 | 57,"degree_centrality, betweenness_centrality, closeness_centrality | degree_centrality, betweenness_centrality, closeness_centrality, eigenvector_centrality | degree_centrality, closeness_centrality, eigenvector_centrality",0.75,15,TRUE
ovarian cancer,15,18,3,3,"1 | 12 | 15 | 15, 47 | 17 | 18 | 19 | 3 | 33, 52 | 33, 6 | 59 | 6","degree_centrality, closeness_centrality, eigenvector_centrality",0.75,15,TRUE
benign ependymoma,15,15,3,3,12 | 19 | 2 | 22 | 26 | 30 | 31 | 33 | 41 | 51 | 54 | 8,"degree_centrality, closeness_centrality, eigenvector_centrality",0.75,15,TRUE
central nervous system chondroma,15,15,3,3,12 | 15 | 19 | 2 | 22 | 26 | 31 | 33 | 45 | 51 | 54 | 8,"degree_centrality, closeness_centrality, eigenvector_centrality",0.75,15,TRUE
"osteogenesis imperfecta with opalescent teeth, blue sclerae and wormian bones but without fractures",15,15,3,3,10 | 11 | 12 | 14 | 18 | 19 | 2 | 27 | 30 | 33 | 4 | 43 | 54 | 62 | 9,"degree_centrality, closeness_centrality, eigenvector_centrality",0.75,15,TRUE
colorectal carcinoma,15,15,2.666666667,4,11 | 14 | 20 | 21 | 22 | 26 | 29 | 30 | 32 | 34 | 36 | 48 | 9,"degree_centrality, betweenness_centrality, closeness_centrality, eigenvector_centrality | degree_centrality, closeness_centrality | degree_centrality, closeness_centrality, eigenvector_centrality",0.75,15,TRUE
